Grant.Status,Sponsor.Code,Grant.Category.Code,Contract.Value.Band...see.note.A,Start.date,RFCD.Code.1,RFCD.Percentage.1,RFCD.Code.2,RFCD.Percentage.2,RFCD.Code.3,RFCD.Percentage.3,RFCD.Code.4,RFCD.Percentage.4,RFCD.Code.5,RFCD.Percentage.5,SEO.Code.1,SEO.Percentage.1,SEO.Code.2,SEO.Percentage.2,SEO.Code.3,SEO.Percentage.3,SEO.Code.4,SEO.Percentage.4,SEO.Code.5,SEO.Percentage.5,Person.ID.1,Role.1,Year.of.Birth.1,Country.of.Birth.1,Home.Language.1,Dept.No..1,Faculty.No..1,With.PHD.1,No..of.Years.in.Uni.at.Time.of.Grant.1,Number.of.Successful.Grant.1,Number.of.Unsuccessful.Grant.1,A..1,A.1,B.1,C.1,Person.ID.2,Role.2,Year.of.Birth.2,Country.of.Birth.2,Home.Language.2,Dept.No..2,Faculty.No..2,With.PHD.2,No..of.Years.in.Uni.at.Time.of.Grant.2,Number.of.Successful.Grant.2,Number.of.Unsuccessful.Grant.2,A..2,A.2,B.2,C.2
1,,,A ,8/11/05,280199,100,0,0,0,0,0,0,0,0,700299,100,0,0,0,0,0,0,0,0,40572,CHIEF_INVESTIGATOR,1965,Asia Pacific,Other,3073,31,,Less than 0,0,0,4,2,0,0,,,,,,,,,,,,,,,
1,2B,10A,B ,11/11/05,280103,30,280106,30,280203,40,0,0,0,0,700103,50,700102,50,0,0,0,0,0,0,9067,CHIEF_INVESTIGATOR,1960,Australia,,2538,25,Yes ,more than 15,0,0,6,12,2,2,,,,,,,,,,,,,,,
1,29A,10B,A ,14/11/05,321004,60,321216,40,0,0,0,0,0,0,730105,60,730207,40,0,0,0,0,0,0,5967,CHIEF_INVESTIGATOR,1955,Australia,,2923,25,Yes ,>5 to 10,0,0,0,3,5,2,27307,CHIEF_INVESTIGATOR,1950,Australia,,2923,25,,Less than 0,0,0,0,0,0,0
1,40D,10B,C ,15/11/05,270602,50,320602,50,0,0,0,0,0,0,730106,70,730201,30,0,0,0,0,0,0,78782,PRINCIPAL_SUPERVISOR,1955,Australia,,2678,25,Yes ,>5 to 10,0,0,0,3,13,3,55337,CHIEF_INVESTIGATOR,1975,Australia,,2678,25,Yes ,>=0 to 5,0,0,0,0,0,0
0,59C,10A,A ,16/11/05,260500,34,280000,33,290000,33,0,0,0,0,770199,100,0,0,0,0,0,0,0,0,13042,CHIEF_INVESTIGATOR,1965,Western Europe,,2153,19,Yes ,>5 to 10,0,0,3,0,1,0,,,,,,,,,,,,,,,
1,4D,10A,,19/11/05,321204,100,0,0,0,0,0,0,0,0,730211,100,0,0,0,0,0,0,0,0,301472,CHIEF_INVESTIGATOR,1950,Australia,,2533,25,Yes ,>=0 to 5,2,0,7,27,27,6,,,,,,,,,,,,,,,
0,2B,10A,,19/11/05,270708,50,270203,30,270401,20,0,0,0,0,770703,60,770706,40,0,0,0,0,0,0,74292,CHIEF_INVESTIGATOR,1960,Australia,,3028,31,Yes ,>10 to 15,0,0,8,5,2,0,82602,CHIEF_INVESTIGATOR,1960,Australia,,3028,31,Yes ,>10 to 15,0,1,0,0,0,0
0,28D,30B,A ,19/11/05,321405,100,0,0,0,0,0,0,0,0,730303,100,0,0,0,0,0,0,0,0,1642,CHIEF_INVESTIGATOR,1965,Australia,,2563,25,,,0,3,0,0,0,0,70212,CHIEF_INVESTIGATOR,1940,Australia,,2563,25,,Less than 0,0,0,0,0,0,0
1,2B,10A,H ,19/11/05,260108,50,260109,50,0,0,0,0,0,0,780104,100,0,0,0,0,0,0,0,0,1012,CHIEF_INVESTIGATOR,1945,Australia,English,3123,31,Yes ,>5 to 10,0,0,8,1,11,0,80197,CHIEF_INVESTIGATOR,1950,Australia,English,3123,31,Yes ,>5 to 10,2,1,0,0,0,0
1,2B,10A,,19/11/05,270708,40,270704,30,270203,30,0,0,0,0,770503,60,770502,40,0,0,0,0,0,0,89462,CHIEF_INVESTIGATOR,1930,,,,,,,0,0,1,0,0,0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,
